Date,Team,Team_SP,Opp,Opp_SP,Bet_Length,Bet_Type,Line_Move_Time,Over_Under,Line,Odds
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 04:10 PM,,,-140
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 04:10 PM,,,+129
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 04:10 PM,,,-137
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 04:10 PM,,,+126
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,MONEY LINES,04/02 04:10 PM,,,-134
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,MONEY LINES,04/02 04:10 PM,,,+124
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 09:10 AM,over,8,+102
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 09:10 AM,under,8,-113
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 01:41 PM,over,8,-102
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 01:41 PM,under,8,-108
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 06:02 PM,over,8,-107
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 06:02 PM,under,8,-103
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 08:19 PM,over,8,-112
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 08:19 PM,under,8,+102
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 08:21 PM,over,8,-107
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 08:21 PM,under,8,-103
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/01 08:47 PM,over,8,-109
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/01 08:47 PM,under,8,-101
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 04:18 AM,over,8,-111
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 04:18 AM,under,8,+101
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 07:06 AM,over,8,-107
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 07:06 AM,under,8,-103
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 08:09 AM,over,8,-109
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 08:09 AM,under,8,-101
20170402,Pinnacle,SFO,Bumgarner,ARI,Greinke,Full Game,TOTALS,04/02 08:09 AM,over,8,-105
20170402,Pinnacle,ARI,Greinke,SFO,Bumgarner,Full Game,TOTALS,04/02 08:09 AM,under,8,-105
